"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1505","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3434","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1751","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1754","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","1844","Registration with correct email,username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","2026-09-21","passed","2026-09-21","TestUserInterface","test_markers","",""
"","1774","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2630","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","3026","Edit course card","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_regression_cases","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","1508","Check displaying empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2020","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
