"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","2026-09-21","passed","2026-09-21","TestUserInterface","test_markers","",""
"","1","test_critical_login","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","2135","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1438","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1898","Registration with correct email,username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","2564","Edit course card","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1933","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1741","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1643","Check displaying empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1646","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","2256","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","3484","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_regression_cases","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
