"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","2419","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1584","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1238","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1560","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","5954","Create course","LMS system","2026-09-21","failed","2026-09-21","Courses","Courses","",""
"","1346","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","5943","Check displaying empty courses list","LMS system","2026-09-21","failed","2026-09-21","Courses","Courses","",""
"","30946","Edit course card","LMS system","2026-09-21","broken","2026-09-21","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-21","passed","2026-09-21","TestUserInterface","test_markers","",""
"","6259","Check displaying of dashboard page","LMS system","2026-09-21","failed","2026-09-21","Dashboard","Dashboard","",""
"","1243","Registration with correct email,username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_regression_cases","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
